1st ->,A (UB),B (UR),D (UL),E (LU),F (LF),G (LD),H (LB),J (FR),K (FD),L (FL),M (RU),N (RB),O (RD),P (RF),Q (BU),R (BL),S (BD),T (BR),U (DF),V (DR),W (DB),Y (DL)
A (UB),,"[R2 U': [R2, S]]","[L2 U: [L2, S']]","[S' U: [L2, S']]","[U : [R' E R , U2]]","[U' : [L' E' L , U2]]","[U : [R E' R' , U2]]","[Uw: [R' E R, U2]]","[R' F': [E, R U R']]","[L U: [L2, S']]","[U M U: [U2, M']]","[U: [U2, L' E L]]","[U : [R E R' , U2]]","[U : [U2, L E' L']]",,"[L' U: [l2, S']]","[U M' U: [U2, M']]","[R U': [R2, S]]","[M', U2]","[U' : [R2, S]]","[U2, M]","[U: [L2, S']]"
B (UR),"[R2 U': [S, R2]]",,M2 U' M U2 M' U M2,"[L F' L' , S']","[R' E R, U']","[L': [R' E R, U']]","[R E' R', U']","[E' : [R' E R, U']]","[R U' R' U, M']","[R E2 R', U']",,"[U: [U, L' E L]]","[R E R', U']","[U: [U, L E' L']]","[R' : [U' R U , M]]","[R' E2 R, U']","[D': [R' E' R, U']]","[Uw: [U, L E' L']]",[R U R' U': [M' U2]],"[R' U R' : [R2, S]]","[R U' R' U, M2]","[R' U R: [L2, S']]"
D (UL),"[L2 U: [S', L2]]",M2 U M U2 M' U' M2,,,"[U' : [U',R' E R]]","[L' E' L, U]","[U' : [U', R E' R']]","[L' E2 L , U]","[L' U L U', M']","[E: [L E' L', U]]","[R' F R , S]","[L' E L, U]","[U' : [ U',R E R']]","[L E' L', U]","[L : [U L' U' , M']]","[Uw': [U', R' E R]]","[D: [L' E' L , U]]","[L E2 L', U]","[U', M U2 M]","[L' U' L: [S, R2]]","[L' U L U', M2]","[L U' L': [S', L2]]"
E (LU),"[S' U: [S', L2]]","[S', L F' L']",,,"[S : [R' E R, U']]","[F L: [E', L2]]","[S : [R E' R', U']]","[M': [L E' L', U']]","[Lw': [U' L U, M']]","[M' U: [U, R' E R]]","[M U: [U2, M']]","[Rw' U: [U2, M']]","[R' F R' : [S , R2]]","[S U: [U, L E' L']]","[L': [M', U' L U]]","[L U': [R E R', U']]","[D' R' F R: [R2, S]]","[M': [L' E L, U']]","[L' F' : [E', L2]]","[Rw: [L E' L', U']]","[D: [S, L F' L']]","[S, L F' L']]"
F (LF),"[U : [U2, R' E R]]","[R' E R, U']","[U' : [R' E R,U']]","[S : [U' , R' E R]]",,"[S U': [R' E R, U']]","[Rw U L: [L2, S']]","[R U' R' , E]","[M': [U' L' U, M']]",,"[S' U': [R' E R, U']]","[Rw U R: [E, R2]]","[S': [U', R' E R]]","[U2 F: [U2, M']]","[M', U' L' U]","[L U L' , E']","[U' M: [R' E R, U]]","[R': [U', R' E R]]","[D R2: [U', R' E R]]","[U' E' R': [E', R2]]","[M' : [U' L' U, M2]]","[U E L': [E', L2]]"
G (LD),"[U: [L' E' L, U2]]","[U: [L' E' L, U]]","[U , L' E' L]","[F L': [E', L2]]","[S U': [U', R' E R]]",,"[z: [U', L E' L']]","[L': [R U' R', E]","[Lw': [U' L' U, M']]","[S' U' R': [E, R2]]","[L F' L': [S', L2]]","[S: [L' E L, U]]","[L F' L : [S , L2]]","[S: [L E' L', U]]","[L': [M', U' L' U]]","[D: [M', U L U']]",D' M D' M' D' M D' M',"[L: [R' U' R, E']]","[L F': [E', L2]]","[S , L' F' L]","[F' L' F, M2]",
H (LB),"[U' : [R E' R' , U2]]","[U' , R E' R']","[U' : [R E' R' , U']]","[S : [U' , R E' R']]","[Rw U L: [S', L2]]","[z: [L E' L', U']]",,"[L2, [R U' R', E]]","[M': [U' L U, M']]","[L' U L, E]","[Lw U': [M', U2]]","[F: [E', R2]]","[R' F: [E', R2]]","[Lw' U' L: [E', L2]]","[M' , U' L U]",,"[U' M: [R E' R', U]]","[R' U' R, E']","[F': [E', L2]]","[Uw' R: [E, R2]]","[M: [M2, U' L U]]","[Uw L: [E, L2]]"
J (FR),"[R' U': [S, R2]]","[E' : [U' , R' E R]]","[U , L' E2' L]","[S' U L': [E', L2]]","[E, R U' R']","[L': [E, R U' R']]","[L2, [E, R U' R']]",,"[U' R U, M']","[R' U' R : [R2, E]]","[R U: [U, L' E' L]]","[E' , R U' R']","[D': [U' R U, M']]",,"[U' R U , M]","[E2, R U' R']","[D2: [U' R U, M']]","[U R: [S, R2]]","[U R U': [M', U2]]",U2 R U' R' U' R' U' R U R U',"[U D L: [L2, E']]","[U L: [L2, E']]"
K (FD),"[R' F': [R U R', E]]","[R: [M', U' R' U]]","[L' : [M', U L U']","[F: [E, R U2 R']]","[M': [M' , U' L' U]]","[M', F' L' F]","[M': [M', U' L U]]","[M' , U' R U]",,"[M' , U L' U']","[Rw: [M' , U R' U']]","[M': [M', U R' U']]","[Rw: [M', U R U']]","[M': [M', U R U']]","[D R : [M', U R U']]","[M' , U L U']","[D' R' F R': [R2, S']]","[M', U' R' U]",,"[R: [M', U' R U]]","[D : [S' , R F R']]","[M', U L2 U']"
L (FL),"[L U: [S', L2]]","[U' , R E2 R']","[E: [U, L E' L']]","[Rw U: [R' E R, U]]",,"[S' U' R': [E, R2]]","[E, L' U L]","[R' U' R: [E, R2]]","[U L' U' , M']",,"[M': [U, R' E R]]","[L' : [L' E L, U]]","[D': [U L' U', M']]","[E', L' U L]","[U L' U' , M]","[U' L: [L2, S']]","[D2: [U L' U', M']]","[R U' R': [R2, E]]","[U' L' U: [M', U2]]","[U' R: [E, R2]]","[U' D' R: [E, R2]]",U2 L' U L U L U L' U' L' U
M (RU),"[S U': [S, R2]]",,"[S, R' F R]","[M U: [M', U2]]","[L' M U': [U2, M']]","[L F' L': [L2, S']]","[Lw U': [U2, M']]","[R U: [L' E' L, U]]","[Rw: [U R' U', M']]","[S U' R: [R2, E]]",,"[S' : [L' E L , U]]","[F' R': [E, R2]]","[S' : [L E' L', U]]","[R: [M', U R' U']]","[M' : [R E' R', U]]","[D2 Rw: [U R' U', M']]",[R Uw': R' E' R2 E R'],"[D: [S', R' F R]]","[S' , R' F R]","[D': [S', R' F R]]","[Lw': [R' E R, U]]"
N (RB),"[U: [L' E L, U2]]","[U : [L' E L , U]]","[U , L' E L]","[Rw' U: [M', U2]]","[Rw U R': [E, R2]]","[S: [U, L' E L]]","[F: [R2, E']]","[R U' R' , E']","[M': [U R' U', M']]","[L' : [U , L' E L]]","[S' : [U , L' E L]]",,"[z': [R' E R, U]]","[R' F' R: [R2, E]]","[M' , U R' U']","[L U L' , E]","[U M: [L' E L, U']]",,"[F: [E, R2]]","[Uw' R: [R2, E']]","[M' : [U R' U' , M2']]","[Uw L: [L2, E']]"
O (RD),"[U' : [R E R' , U2]]","[U', R' E' R]","[U': [R' E' R, U']]","[R' F R' : [R2, S]]","[S': [R' E R, U']]","[R' F R: [R2, S']]","[S': [R E' R', U']]","[D': [M', U' R U]]","[Rw: [U R U', M']]","[D': [M', U L' U']]","[F' R': [R2, E]]","[z': [U, R' E R]]",,"[z': [U', R' E R]]","[R : [M', U R U']]","[R' E': [E', R U' R']]",D M D M' D M D M',"[D': [M', U' R' U]]","[R' F: [E, R2]]",,"[Rw: [U R U', M2]]","[S' , R F R']"
P (RF),"[U : [L E' L' , U2']]","[U: [L E' L', U]]","[U, L E' L']","[S U: [L E' L', U]]","[U E R: [R2, S]]","[S: [U, L E' L']]","[l' U' L' : [E' , L2]]",,"[M': [U R U', M']]","[L' U L , E']","[S' : [U , L E' L']]","[R' F' R: [E, R2]]","[z': [R' E R, U']]",,"[M' , U R U']","[R2 E': [E', R U' R']]","[U M: [L E' L', U']]","[R' U' R , E]","[R2 F: [E, R2]]","[U' E' R': [R2, E]]","[M': [U R U', M2]]","[U E L: [E, L2]]"
Q (BU),,"[R': [M, U' R U]]","[L: [M, U L' U']]","[L' : [M', U' L' U]]","[U' L' U, M']","[L': [U' L' U, M']]","[U' L U , M']","[M , U' R U]","[F: [R U R', E]]","[M , U L' U']","[R: [U R' U', M']]","[U R' U', M']","[R : [U R U' , M']]","[U R U', M']",,"[L2 : [L' U L , E']]","[D' R : [U R U', M']]","[U R' U', M']","[D: [M, U' R2 U]]","[R': [M, U' R' U]]","[U: [R B R', S]]","[M, U L2 U']"
R (BL),"[L' U: [S', L2]]","[U' , R' E2 R]","[Uw': [R' E R, U']]","[L U': [U', R E R']]","[E', L U L']","[D: [U L U', M']]",,"[R U' R', E2]","[U L U' , M']","[U' L: [S', L2]]","[M' : [U , R E' R']]","[E , L U L']","[R' E': [R U' R', E']]","[L2 : [E' , L' U L]]","[U L U' , M]",,"[D2: [U L U' , M']]","[R U' R: [R2, E']]","[U' L U: [M', U2]]","[D' R' F: [E, R2]]","[U' D' R: [R2, E']]",L U' L' U' L' U' L U L U
S (BD),"[U M' U: [M', U2]]","[D': [U', R' E' R]]","[D': [U , L' E' L]]","[D' R' F R: [S, R2]]","[U' M: [U, R' E R]]",M D M' D M D M' D,"[U' M: [U, R E' R']]","[D2: [M', U' R U]]","[D R' F R': [R2, S']]","[U: [U M U', L']]","[D2 Rw: [M', U R' U']]","[U M: [U', L' E L]]",M D' M' D' M D' M' D',"[U M: [U', L E' L']]","[D' R : [M', U R U']]","[D2: [M' , U L U']]",,"[D2: [M', U' R' U]]","[D': [S', R F R']]","[D2, [M', U L2 U']]",,"[D L F': [E', L2]]"
T (BR),"[R U': [S, R2]]","[Uw : [L E' L', U]]","[U, L E2 L']","[R': [L F' L', S']]","[R': [R' E R, U']]","[D: [U' R' U, M']]","[E',R' U' R]","[U R: [R2, S]]","[U' R' U, M']","[R U' R': [E, R2]]","[U Rw' U': [M', U2]]",,"[D': [U' R' U, M']]","[E, R' U' R ]","[M', U R' U']","[R U' R: [E', R2]]","[D2: [U' R' U, M']]",,"[U R' U': [M', U2]]",R' U R U R U R' U' R' U',"[U' R' U, M2]","[U L: [E, L2]]"
U (DF),"[U2, M']","[M U2 M, U]","[L' U' L U: [U2, M']]","[L' F' : [L2 , E']]","[L2 F: [E', L2]]","[L F': [L2, E']]","[F: [E', L2]]","[U R U: [M', U2]]",,"[U' L' U: [U2, M']]","[D: [R' F R , S']]","[F: [R2, E]]","[R' F: [R2, E]]","[R2 F: [R2, E]]","[D: [U' R2 U, M]]","[U' L U: [U2, M']]","[D': [R F R', S']]","[U D' L: [L2, E]]",,"[R' F: [F2, R S' R']]",M Uw2 M Uw2,"[D, M' U2 M]"
V (DR),"[U' : [S , R2']]","[R' U R' : [S , R2]]","[L' U' L: [R2, S]]","[Rw: [U', L E' L']]","[U' E' R': [R2, E']]","[L' F' L, S]","[R2: [R E' R', U']]","[D' U R U: [M', U2]]","[U' R2 U, M']","[U' R: [R2, E]]","[R' F R , S']","[Uw', L': [S, R2]]",,"[S2 : [L E' L', U]]","[U' R2 U, M]","[U' R : [E' , R2]]","[D2, [U L2 U', M']]",U R U R U' R' U' R' U' R,"[U R2 U': [M', U2]]",,"[U' R2 U, M2]","[U': [S', R2]]"
W (DB),"[M, U2]","[M2, R U' R' U]","[L' : [M2, U L U']]","[Lw': [M2, U' L U]]","[M' : [M2, U' L' U]]","[M2, F' L' F]","[M: [U' L U, M2]]","[M2 , U' R U]","[D : [R F R', S']]","[M2 , U L' U']","[Rw: [M2, U R' U']]","[M' : [M2, U R' U']]","[Rw: [M2, U R U']]","[M': [M2, U R U']]","[D' R': [U' R' U, M]]","[M2, U L U']",,"[M2, U' R' U]","[D2, M]","[M2, U' R2 U]",,"[M2, U L2 U']"
Y (DL),"[U: [S', L2]]","[R' U L: [E', L2]]","[L U' L': [L2, S']]","[L F' L' , S]]","[U E L': [L2, E']]",,"[Uw R': [S', L2]]","[U L: [E', L2]]","[U L2 U', M']","[U' D L' U': [M', U2]]","[Lw': [U, R' E R]]","[Uw L: [E', L2]]","[R F R', S']","[L': [E', L' U L]]","[U L2 U', M]","[L Uw': [R' E R, U']]","[D2: [U' R2 U, M']]","[U L: [L2, E]]","[U' L2 U: [M', U2]]","[U': [R2, S']]","[U L2 U', M2]",